customer_id,churn,tenure,monthly_charges,total_charges,contract,payment_method,feedback,topic
CUST001,TRUE,12,30,360,one year,credit card,Love the variety of flowers!,bouquet preferences
CUST002,TRUE,4,35.5,142,month-to-month,electronic check,Delivery was often late,delivery issues
CUST003,FALSE,20,29.99,599.8,two year,bank transfer,Great service and quality,general feedback
CUST004,TRUE,2,32,64,month-to-month,mailed check,Not enough variety,bouquet preferences
CUST005,TRUE,15,28.5,427.5,one year,credit card,Beautiful arrangements every time,general feedback
CUST006,TRUE,3,30,90,month-to-month,electronic check,Prices are too high,price complaints
CUST007,FALSE,18,27.99,503.82,one year,bank transfer,Always on time and fresh,delivery quality
CUST008,TRUE,5,31,155,month-to-month,credit card,Flowers didn't last long,product quality
CUST009,FALSE,22,26.5,583,two year,mailed check,I recommend to all my friends,general feedback
CUST010,TRUE,1,34.99,34.99,month-to-month,electronic check,null,customer service
CUST011,FALSE,30,25,750,two year,bank transfer,Exceptional quality every month,product quality
CUST012,TRUE,6,33,198,month-to-month,credit card,Not satisfied with the selection,bouquet preferences
CUST013,FALSE,14,29.5,413,one year,mailed check,Reliable and worth it,general feedback
CUST014,TRUE,8,35,280,month-to-month,electronic check,Flowers wilted quickly,product quality
CUST015,FALSE,25,27,675,two year,bank transfer,So happy with the bouquets,general feedback
CUST016,TRUE,9,31.5,283.5,month-to-month,credit card,Didn't like the arrangements,bouquet preferences
CUST017,FALSE,16,28,448,one year,mailed check,Always fresh and beautiful,product quality
CUST018,TRUE,7,30.5,213.5,month-to-month,electronic check,Too expensive for the quality,price complaints
CUST019,FALSE,19,26.99,512.81,one year,bank transfer,Great variety each month,bouquet preferences
CUST020,TRUE,10,32,320,month-to-month,credit card,Delivery issues multiple times,delivery issues
CUST021,FALSE,27,25.5,688.5,two year,mailed check,Flowers are always stunning,product quality
CUST022,TRUE,11,33.5,368.5,month-to-month,electronic check,Not worth the price,price complaints
CUST023,FALSE,17,27.5,467.5,one year,bank transfer,Happy with the service,general feedback
CUST024,TRUE,3,29,87,month-to-month,mailed check,Quality has gone down,product quality
CUST025,FALSE,21,26,546,two year,credit card,Very satisfied with my subscription,general feedback
CUST026,TRUE,2,31.5,63,month-to-month,electronic check,Poor delivery service,delivery issues
CUST027,FALSE,12,28,336,one year,bank transfer,Lovely and fresh bouquets,product quality
CUST028,TRUE,6,32,192,month-to-month,credit card,Unresponsive customer service,customer service
CUST029,FALSE,23,25.99,597.77,two year,mailed check,Great value for money,price appreciation
CUST030,TRUE,5,34,170,month-to-month,electronic check,Selection is not good,bouquet preferences
CUST031,FALSE,13,29,377,one year,credit card,Always a pleasant surprise,general feedback
CUST032,FALSE,7,30.5,213.5,month-to-month,mailed check,Overpriced for what you get,price complaints
CUST033,FALSE,26,27,702,two year,bank transfer,The quality is consistently high,product quality
CUST034,FALSE,8,33,264,month-to-month,credit card,Not happy with the flower choices,bouquet preferences
CUST035,FALSE,24,26.5,636,two year,electronic check,Love the convenience and quality,general feedback
CUST036,TRUE,4,31,124,month-to-month,mailed check,Delivery was unreliable,delivery issues
CUST037,TRUE,15,28.5,427.5,one year,bank transfer,Flowers are gorgeous every time,product quality
CUST038,TRUE,1,35,35,month-to-month,credit card,Not impressed with the service,customer service
CUST039,TRUE,29,25,725,two year,electronic check,So happy I found this service,general feedback
CUST040,FALSE,9,34.5,310.5,month-to-month,mailed check,Expected better quality,product quality
CUST041,FALSE,18,27.99,503.82,one year,bank transfer,Consistently amazing bouquets,general feedback
CUST042,FALSE,6,30,180,month-to-month,credit card,Too expensive for the offer,price complaints
CUST043,FALSE,20,27.5,550,two year,mailed check,Love the bouquet designs,bouquet preferences
CUST044,FALSE,3,29,87,month-to-month,electronic check,Delivery delays were frustrating,delivery issues
CUST045,FALSE,14,28.5,399,one year,bank transfer,Always a joy to receive,general feedback
CUST046,FALSE,2,32.5,65,month-to-month,credit card,Flowers did not meet expectations,product quality
CUST047,FALSE,17,26.99,458.83,one year,electronic check,Subscription is a great gift idea,general feedback
CUST048,FALSE,7,31,217,month-to-month,mailed check,Not satisfied with the arrangements,bouquet preferences
CUST049,TRUE,22,26,572,two year,bank transfer,Very reliable and high quality,product quality
CUST050,FALSE,8,33,264,month-to-month,credit card,Service not as expected,customer service
CUST051,FALSE,11,28.5,313.5,one year,credit card,Always pleased with the bouquets,general feedback
CUST052,FALSE,6,34,204,month-to-month,electronic check,Subpar flower quality,product quality
CUST053,FALSE,19,27,513,two year,bank transfer,Best subscription I've ever had,general feedback
CUST054,FALSE,1,35.5,35.5,month-to-month,mailed check,Unsatisfactory delivery service,delivery issues
CUST055,FALSE,24,26.99,647.76,one year,credit card,Flowers bring joy every month,general feedback
CUST056,FALSE,3,30,90,month-to-month,electronic check,Too costly for the quality provided,price complaints
CUST057,FALSE,16,28,448,two year,bank transfer,Exceptional service and products,general feedback
CUST058,FALSE,7,32,224,month-to-month,mailed check,Flowers did not look fresh,product quality
CUST059,FALSE,20,27.5,550,one year,credit card,Consistent quality every time,product quality
CUST060,TRUE,10,33.5,335,month-to-month,electronic check,Unreliable delivery times,delivery issues
CUST061,FALSE,25,25,625,two year,bank transfer,Great customer service,customer service
CUST062,TRUE,2,31,62,month-to-month,mailed check,Selection is limited,bouquet preferences
CUST063,FALSE,13,29.5,383.5,one year,credit card,Flowers always arrive in perfect condition,delivery quality
CUST064,TRUE,8,35,280,month-to-month,electronic check,Expensive compared to others,price complaints
CUST065,FALSE,26,27,702,two year,bank transfer,Subscription is worth every penny,price appreciation
CUST066,TRUE,9,34.5,310.5,month-to-month,mailed check,Quality has decreased recently,product quality
CUST067,FALSE,12,28.5,342,one year,credit card,Very happy with the flower variety,bouquet preferences
CUST068,TRUE,4,30,120,month-to-month,electronic check,Not enough value for the price,price complaints
CUST069,FALSE,17,27.5,467.5,two year,bank transfer,Always satisfied with my order,general feedback
CUST070,TRUE,5,31,155,month-to-month,mailed check,Delivery service needs improvement,delivery issues
CUST071,FALSE,21,26.5,556.5,one year,credit card,Excellent bouquet designs,bouquet preferences
CUST072,TRUE,3,29,87,month-to-month,electronic check,Poor customer support,customer service
CUST073,FALSE,14,29,406,two year,bank transfer,High-quality flowers every time,product quality
CUST074,TRUE,6,32,192,month-to-month,mailed check,Too pricey for what's offered,price complaints
CUST075,FALSE,23,26,598,one year,credit card,Always a pleasant surprise,general feedback
CUST076,TRUE,7,33.5,234.5,month-to-month,electronic check,Flowers wilted too quickly,product quality
CUST077,FALSE,18,28,504,two year,bank transfer,Flowers are always vibrant,product quality
CUST078,TRUE,8,31,248,month-to-month,mailed check,Expected better customer service,customer service
CUST079,FALSE,15,27.99,419.85,one year,credit card,Delightful bouquets every month,bouquet preferences
CUST080,TRUE,9,34,306,month-to-month,electronic check,Flowers not as advertised,product quality
CUST081,FALSE,10,30.5,305,one year,mailed check,Consistently great service,general feedback
CUST082,TRUE,1,35.5,35.5,month-to-month,bank transfer,Not satisfied with flower quality,product quality
CUST083,FALSE,22,25.5,561,two year,credit card,Excellent value for money,price appreciation
CUST084,TRUE,11,32,352,month-to-month,mailed check,Delivery was inconsistent,delivery issues
CUST085,FALSE,20,27,540,one year,bank transfer,Love the unique arrangements,bouquet preferences
CUST086,TRUE,2,30,60,month-to-month,electronic check,Too expensive for the bouquet size,price complaints
CUST087,FALSE,19,26.99,512.81,two year,credit card,Happy with every delivery,delivery quality
CUST088,TRUE,12,34.5,414,month-to-month,mailed check,Customer service was lacking,customer service
CUST089,FALSE,13,29,377,one year,bank transfer,Flowers always exceed expectations,product quality
CUST090,TRUE,3,31,93,month-to-month,credit card,Not impressed with the selection,bouquet preferences
CUST091,FALSE,24,26.5,636,two year,electronic check,Always look forward to my delivery,general feedback
CUST092,TRUE,4,30.5,122,month-to-month,mailed check,Prices are too high for the quality,price complaints
CUST093,FALSE,17,27.5,467.5,one year,bank transfer,The best flower subscription service,general feedback
